WindSpeed_m/s,Power_Watts,ThrustCoefficient,RotorSpeed_rev/min
0.01,	     0,	          0,	0
0.49,	     0,	          0,	0
0.50,	  9069,	0.769236,	3.34
0.60,	 15671,	0.769396,	4.01
0.70,	 24885,	0.769521,	4.68
0.80,	 37146,	0.769621,	5.35
0.90,	 52890,	0.769695,	6.02
1.00,	 72551,	0.769223,	6.68
1.10, 	 96566,	0.769323,	7.35
1.20,	125368,	0.769400,	8.02
1.30,	159395,	0.769468,	8.69
1.40,	199080,	0.769527,	9.36
1.50,	244860,	0.769578,	10.03
1.60,	297169,	0.769621,	10.70
1.70,	356444,	0.769349,	11.36
1.80,	422574,	0.753010,	11.50
1.90,	494001,	0.731012,	11.50
2.00,	545101,	0.629577,	11.50
2.10,	541377,	0.492780,	11.50
2.20,	538518,	0.408811,	11.50
2.30,	535701,	0.347053,	11.50
2.40,	535425,	0.300476,	11.50
2.50,	535155,	0.262903,	11.50
2.60,	528464,	0.229243,	11.50
2.70,	534537,	0.206190,	11.50
2.80,	526646,	0.181936,	11.50
2.90,	535569,	0.166343,	11.50
3.00,	530329,	0.149075,	11.50
4.00,	530329,	0.149075,	11.50
