Thrust_Kt,Torque_Kq,AdvanceRatio,Efficiency
0.1482441869,0.0077480510,0.5615874204,1.7101047053
0.1480448167,0.0077276293,0.5610972569,1.7108234860
0.1480237158,0.0077255958,0.5610472883,1.7108775183
0.1479544225,0.0077186001,0.5608787100,1.7111122267
0.1478531800,0.0077083387,0.5606312292,1.7114621494
0.1482017729,0.0077436132,0.5614823133,1.7102750520
0.1481352754,0.0077368961,0.5613199524,1.7104970833
0.1480442835,0.0077276560,0.5610972569,1.7108114210
0.1480332053,0.0077265462,0.5610703496,1.7108470670
0.1479927922,0.0077224749,0.5609723521,1.7109828209
0.1479580791,0.0077189611,0.5608874486,1.7111011601
0.1479279422,0.0077158977,0.5608131791,1.7112052280
0.1480776365,0.0077310701,0.5611795775,1.7106921131
0.1585824981,0.0088384412,0.5870203283,1.6763042575
0.1715234077,0.0103322477,0.6196325688,1.6371292048
0.1636541144,0.0114026283,0.6522448092,1.4898849242
0.1411128337,0.0113189217,0.6847826087,1.3587335819
0.1284081504,0.0112547201,0.7173913043,1.3026691562
0.1190656554,0.0111904407,0.7500000000,1.2700496848
0.1121794458,0.0111801576,0.7826086957,1.2497702044
0.1064730736,0.0111743394,0.8153060115,1.2363991856
0.1003129755,0.0110230445,0.8478260870,1.2279550183
0.0972670692,0.0111486972,0.8805304924,1.2226615085
0.0921896756,0.0109705784,0.9130434783,1.2211368913
0.0903651621,0.0111511106,0.9456521739,1.2196478821
0.0866366750,0.0110411611,0.9783672138,1.2218251231
