Thrust_Kt	Torque_Kq	AdvanceRatio	Efficiency
0.0609268538	0.0025510648	0.4491017964	1.7070733586
0.0608787623	0.0025472403	0.4488778055	1.7074349572
0.06084532	0.002544509	0.4487179487	1.7077203884
0.0608207342	0.0025424608	0.4485981308	1.7079493099
0.0608012995	0.002540868	0.4485049834	1.7081191435
0.0609258699	0.0025510402	0.4491017964	1.7070622513
0.060900641	0.0025489379	0.4489795918	1.7072980097
0.0608791036	0.0025472061	0.4488778055	1.7074674055
0.0608610969	0.0025457404	0.4487917146	1.7076175713
0.0608458211	0.0025444839	0.4487179487	1.7077512692
0.060832482	0.0025433948	0.4486540379	1.7078647367
0.0608207342	0.0025424513	0.4485981308	1.7079557499
0.0608929227	0.002548331	0.448943662	1.7073515641
0.0652006824	0.0029121177	0.4695652174	1.6732439891
0.0705242473	0.0034043478	0.4956521739	1.634186734
0.0673000323	0.0037565051	0.5217391304	1.4876639075
0.0580762045	0.0037308359	0.547826087	1.3572345881
0.0528779566	0.0037111338	0.5739130435	1.3014703647
0.0490635068	0.0036917221	0.6	1.2691149804
0.0462529208	0.0036898216	0.6260869565	1.2490752005
0.0439119	0.0036879626	0.652173913	1.2358884689
0.0414143575	0.0036418526	0.6782608696	1.2275677312
0.0401701508	0.0036836968	0.7043478261	1.2224381488
0.0381191018	0.0036293209	0.7304347826	1.2210090209
0.037385956	0.0036908092	0.7565217391	1.2196309707
0.035855429	0.0036546996	0.7826086957	1.221991081
