"Iteration","Thrust (row-1_turbine-1) Monitor: Thrust (row-1_turbine-1) Monitor (N)","Thrust (row-1_turbine-2) Monitor: Thrust (row-1_turbine-2) Monitor (N)","Thrust (row-1_turbine-3) Monitor: Thrust (row-1_turbine-3) Monitor (N)","Thrust (row-1_turbine-4) Monitor: Thrust (row-1_turbine-4) Monitor (N)","Thrust (row-1_turbine-5) Monitor: Thrust (row-1_turbine-5) Monitor (N)","Thrust (row-2_turbine-1) Monitor: Thrust (row-2_turbine-1) Monitor (N)","Thrust (row-2_turbine-2) Monitor: Thrust (row-2_turbine-2) Monitor (N)","Thrust (row-2_turbine-3) Monitor: Thrust (row-2_turbine-3) Monitor (N)","Thrust (row-2_turbine-4) Monitor: Thrust (row-2_turbine-4) Monitor (N)"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,118632.53915917977,99370.29479327054,101847.41803454542,101442.73476831387,121409.2409946347,71217.92508958516,56216.72221135875,56349.30743110254,72006.89396465234
3.0,146885.96009015452,113273.15310305149,117169.49708958404,114270.1500549036,146656.31815501515,92018.5540016997,65717.73656658607,66154.06973299348,92885.4647255733
4.0,170480.5722496521,129975.68173233337,132368.8507821139,131095.73112817737,170872.99161993607,108582.05526219697,75805.75833001698,76060.3330235404,108884.73057103227
5.0,191860.73563233204,147807.15455350574,148740.98961612675,149135.54404876122,192293.0668489946,116347.24346836434,84808.3599593002,85217.67688484916,116519.58025864558
6.0,206078.78412422293,162563.3692133361,162412.22980462303,164025.50773501938,206566.3327773161,115339.76878100175,92904.18930202705,93550.37519536655,114774.2020386739
7.0,215285.54726503123,174866.55826385308,174608.82371494218,176271.3920160771,215540.47942742571,109698.99927103588,101776.63573370087,102527.15615732352,109327.05876902895
8.0,221948.00008540237,186136.51435784184,185878.93505141203,187510.92885236524,222206.39731189382,104509.26288393448,113758.21044454476,114627.0544613382,105099.13442836961
9.0,227310.50783698785,196555.78800877376,196370.62267868943,197845.77179756758,227376.57870544918,103287.73522757733,129632.91492747664,130193.47918563092,105042.10890897154
10.0,231070.63813396983,205745.05810777983,205680.87093329866,206862.39998042918,230875.3580361977,106764.29987430184,148973.74186505133,149054.03851530893,108911.75656298705
