"Iteration","Uz_CornerLine1_001: Uz_CornerLine1_001 (m/s)","Uz_CornerLine1_002: Uz_CornerLine1_002 (m/s)","Uz_CornerLine1_003: Uz_CornerLine1_003 (m/s)","Uz_CornerLine1_004: Uz_CornerLine1_004 (m/s)","Uz_CornerLine1_005: Uz_CornerLine1_005 (m/s)","Uz_CornerLine1_006: Uz_CornerLine1_006 (m/s)","Uz_CornerLine2_001: Uz_CornerLine2_001 (m/s)","Uz_CornerLine2_002: Uz_CornerLine2_002 (m/s)","Uz_CornerLine2_003: Uz_CornerLine2_003 (m/s)","Uz_CornerLine2_004: Uz_CornerLine2_004 (m/s)","Uz_CornerLine2_005: Uz_CornerLine2_005 (m/s)","Uz_CornerLine2_006: Uz_CornerLine2_006 (m/s)","Uz_CornerLine3_001: Uz_CornerLine3_001 (m/s)","Uz_CornerLine3_002: Uz_CornerLine3_002 (m/s)","Uz_CornerLine3_003: Uz_CornerLine3_003 (m/s)","Uz_CornerLine3_004: Uz_CornerLine3_004 (m/s)","Uz_CornerLine3_005: Uz_CornerLine3_005 (m/s)","Uz_CornerLine3_006: Uz_CornerLine3_006 (m/s)","Uz_CornerLine4_001: Uz_CornerLine4_001 (m/s)","Uz_CornerLine4_002: Uz_CornerLine4_002 (m/s)","Uz_CornerLine4_003: Uz_CornerLine4_003 (m/s)","Uz_CornerLine4_004: Uz_CornerLine4_004 (m/s)","Uz_CornerLine4_005: Uz_CornerLine4_005 (m/s)","Uz_CornerLine4_006: Uz_CornerLine4_006 (m/s)","Uz_Perimeter1_001: Uz_Perimeter1_001 (m/s)","Uz_Perimeter1_002: Uz_Perimeter1_002 (m/s)","Uz_Perimeter1_003: Uz_Perimeter1_003 (m/s)","Uz_Perimeter1_004: Uz_Perimeter1_004 (m/s)","Uz_Perimeter1_005: Uz_Perimeter1_005 (m/s)","Uz_Perimeter1_006: Uz_Perimeter1_006 (m/s)","Uz_Perimeter1_007: Uz_Perimeter1_007 (m/s)","Uz_Perimeter1_008: Uz_Perimeter1_008 (m/s)","Uz_Perimeter1_009: Uz_Perimeter1_009 (m/s)","Uz_Perimeter1_010: Uz_Perimeter1_010 (m/s)","Uz_Perimeter1_011: Uz_Perimeter1_011 (m/s)","Uz_Perimeter1_012: Uz_Perimeter1_012 (m/s)","Uz_Perimeter2_001: Uz_Perimeter2_001 (m/s)","Uz_Perimeter2_002: Uz_Perimeter2_002 (m/s)","Uz_Perimeter2_003: Uz_Perimeter2_003 (m/s)","Uz_Perimeter2_004: Uz_Perimeter2_004 (m/s)","Uz_Perimeter2_005: Uz_Perimeter2_005 (m/s)","Uz_Perimeter2_006: Uz_Perimeter2_006 (m/s)","Uz_Perimeter2_007: Uz_Perimeter2_007 (m/s)","Uz_Perimeter2_008: Uz_Perimeter2_008 (m/s)","Uz_Perimeter2_009: Uz_Perimeter2_009 (m/s)","Uz_Perimeter2_010: Uz_Perimeter2_010 (m/s)","Uz_Perimeter2_011: Uz_Perimeter2_011 (m/s)","Uz_Perimeter2_012: Uz_Perimeter2_012 (m/s)","Uz_TurbineLine1_001: Uz_TurbineLine1_001 (m/s)","Uz_TurbineLine1_002: Uz_TurbineLine1_002 (m/s)","Uz_TurbineLine1_003: Uz_TurbineLine1_003 (m/s)","Uz_TurbineLine1_004: Uz_TurbineLine1_004 (m/s)","Uz_TurbineLine2_001: Uz_TurbineLine2_001 (m/s)","Uz_TurbineLine2_002: Uz_TurbineLine2_002 (m/s)","Uz_TurbineLine2_003: Uz_TurbineLine2_003 (m/s)","Uz_TurbineLine2_004: Uz_TurbineLine2_004 (m/s)","Uz_TurbineLine3_001: Uz_TurbineLine3_001 (m/s)","Uz_TurbineLine3_002: Uz_TurbineLine3_002 (m/s)","Uz_TurbineLine3_003: Uz_TurbineLine3_003 (m/s)","Uz_TurbineLine3_004: Uz_TurbineLine3_004 (m/s)","Uz_TurbineLine4_001: Uz_TurbineLine4_001 (m/s)","Uz_TurbineLine4_002: Uz_TurbineLine4_002 (m/s)","Uz_TurbineLine4_003: Uz_TurbineLine4_003 (m/s)","Uz_TurbineLine4_004: Uz_TurbineLine4_004 (m/s)","Uz_CornerBuoy1: Uz_CornerBuoy1 (m/s)","Uz_CornerBuoy2: Uz_CornerBuoy2 (m/s)","Uz_CornerBuoy3: Uz_CornerBuoy3 (m/s)","Uz_CornerBuoy4: Uz_CornerBuoy4 (m/s)"
1.0,-0.019263872062265583,-0.13506297744568113,-0.058260639952069704,0.0075292796417442045,0.019596788466877523,0.025616934775220694,-0.01665761850818014,-0.173514430187827,-0.08373485897511876,0.007818973578344917,0.0394911769649454,0.028857267219814103,0.0025265480713914604,0.007774668769699731,-0.007767169605031574,-0.0017543044705405713,0.004785984830194202,0.011490771737578691,1.177800016148073E-4,-0.004331602929446219,-0.011127246254785644,-6.792309668604547E-4,0.00843622802124134,0.009806970165805647,-0.01951849932216254,-0.08481650778262122,-0.20540862544317062,-0.05951566301426996,-0.057390133536010336,-0.02615767229799661,0.009899027720952396,0.025504621111156485,0.049603498864538194,0.09194900617217147,0.06609122490531603,0.025443151617924473,-0.018883376873201806,-0.08665241634834013,-0.2111539169411213,-0.06417293470731977,-0.0639766373260909,-0.030411374703501647,0.006785095840931992,0.02286120955407704,0.050164767800336754,0.08136218375204396,0.05483409476954268,0.022413481981911454,0.00846733449975469,0.0058417136878143525,0.0012357246067299366,-0.0011613664326389163,-7.58621558005207E-4,0.0012820069791004743,0.006804186263780754,0.010699766352093333,0.007873477072334618,0.0032932203968816373,-9.096950784209615E-4,-6.515012591937262E-4,-4.810236551386288E-4,-6.115718346261334E-4,0.002450075382464311,0.006216152856668772,0.005410219132182656,0.010574522588495016,0.005808888540252764,0.005604155431949707
2.0,-0.023953366460727495,-0.160620327593803,-0.09718150216790016,0.022735244119151267,0.04344989997022945,0.052148343110349285,-0.013410569912823767,-0.1909299521314691,-0.11884694664698411,0.01763424301703156,0.07375025263081648,0.05998381731649182,0.006243578233031105,0.05637885316747776,0.035122422172340614,0.016915466470754082,0.003713222860422686,0.03416338715252772,0.0036674335223582898,0.0221429032414804,0.01456924454230676,0.010769731251413466,0.016453235870589996,0.03341070768732752,-0.010882734389204623,-0.07560954092723697,-0.20308528508906676,-0.09355379875058852,-0.06119064978992756,-0.06277047878356398,-0.04284590110963603,-0.005358138662043194,0.03382538842669354,0.08403847115193369,0.08641250214245035,0.05961661799489408,-0.004574775462793996,-0.0704437249980497,-0.20400663849251463,-0.09913476700248873,-0.06755857537606376,-0.07061452939064619,-0.0489961692283262,-0.005754870189755044,0.03036663542398242,0.07720712838975755,0.07365302978769005,0.04983325135401706,0.025484148439500764,0.008225324600563274,0.00925431440988184,0.006039619936348851,0.004506064324616765,0.00956696367620593,0.011394743277807954,0.030372789852223244,0.023629713716103628,0.0035150415535675716,0.007248177351007014,0.005202839326468718,0.0020043664312120717,0.007362243774701613,0.008523143439579774,0.020212658718569476,0.025172987633327003,0.033684193922008936,0.03780564675022845,0.03324599748143073
3.0,-0.010149469966321201,-0.18220823767270067,-0.16337444249529437,1.7444970136007432E-4,0.07384458862343708,0.10416756087447143,-0.016231474559910274,-0.20575348569485297,-0.1931800501132761,-0.013778401755891444,0.0987700411908975,0.10905746412352023,0.01913689812625276,0.06406743865923598,0.050868243253910476,0.038415823480990395,0.023734280945731056,0.061955415623739615,0.010987822766702342,0.020907538789060882,0.02123668809168178,0.029424925263995025,0.03753433887512972,0.05639671849365136,0.02174921991625571,-0.04104989959128688,-0.16240883283296073,-0.13139214074341554,-0.06678034550525559,-0.06350289479279259,-0.05912201955015205,-0.031872392726935206,0.013052178030505106,0.06978234409647352,0.09817218612073614,0.08919727839872581,0.02923806521075473,-0.031063737101847,-0.14990990178863375,-0.13237916198499367,-0.0684226514270745,-0.07038252908318407,-0.07276098539467968,-0.0421624404620456,0.003984685713432816,0.060454868698005225,0.08242150780344504,0.0686616174069329,0.0648425302574839,0.03593268641344429,0.03526188174649422,0.010853441445004615,0.007506434937254006,0.03450980598790797,0.04261620491813333,0.07196802202751837,0.044123248400450094,0.023877227397210928,0.01676267372668826,0.007722640085290314,0.0011950309047597718,0.015167135580195777,0.026575575282896554,0.03609644743997315,0.07138406608373686,0.07807942290766064,0.06858892923219015,0.05355573122064755
4.0,-0.002130609218172727,-0.1700546493267696,-0.22374400718103396,-0.04855651454808548,0.09360186315921476,0.15658947534930479,-0.010507135131237428,-0.19175985453145997,-0.2555629782658903,-0.06541352685451202,0.10847686517674938,0.15262633050108787,-0.006428407704605029,0.0011450853049241683,0.011903336548977185,0.026425191370319477,0.03125054815097007,0.07089906727671708,-0.009251220491430144,-0.025432558410887048,-0.013146712109038073,0.023919925958507927,0.044104873895110024,0.06372790009055046,0.06426700265562614,-0.009951180138767066,-0.1069091691383864,-0.1495336892271216,-0.0843689912820609,-0.07135887066864496,-0.07172022630449529,-0.0524974992430675,-0.010456003838863432,0.04754684914832992,0.09127732571032701,0.09091104687114368,0.06578083696289735,-0.004330638620079467,-0.09086050800235568,-0.14508032755291783,-0.08155437010781394,-0.06842102421452757,-0.08063137998896133,-0.0680065870750162,-0.027040695503135016,0.034765272767197174,0.0769518466829715,0.07040200792412388,0.10755190440512226,0.07637729938444951,0.0927905551471884,0.019369339941505182,0.010379547692234817,0.09021347620972295,0.0808320021777453,0.1114460656431276,0.04913310970600337,0.0410221980007256,0.030845983406128583,0.011233305781415978,0.0028367602199859676,0.02729920835015206,0.04312078639231567,0.04115831912275679,0.12574132923493428,0.1256735562448737,0.07373195557645609,0.056432162145955866
5.0,-0.003277122295405201,-0.1479045540095795,-0.26849607197708125,-0.10554405465776355,0.10035754696232592,0.19767111490163086,-0.011349207374234192,-0.1679481929837872,-0.2990472498390313,-0.12138156242887681,0.10524315397612266,0.18937306631532233,-0.027350533622536085,-0.08518269684751006,-0.051081360029485316,0.0051497902656044425,0.03871408354835028,0.07494431104033236,-0.026240626441514148,-0.08777512182324744,-0.06266311394599762,0.012847264319270102,0.049463981687154414,0.06642190713712952,0.1061624155679617,0.024176424116089848,-0.04893133691369769,-0.14313000846823598,-0.0923124669266516,-0.08362214222230831,-0.08782521175864366,-0.07461190888896771,-0.03348055119657413,0.02224218604782296,0.08058722292488069,0.08505740765128664,0.1027044223837824,0.023327663208388968,-0.03766142998648504,-0.13533752454347447,-0.0879541758659147,-0.07118887137247093,-0.08433289383074596,-0.08628768000761827,-0.05352843157500082,0.005765466617877796,0.06721421213783804,0.06827506592013464,0.14888149698770226,0.1318885540998298,0.1494392802787222,0.03101451160028664,0.014632977281487273,0.1426612405128419,0.13404013987916094,0.15174843874486782,0.05565454469584823,0.06695990786152396,0.03889266440082834,0.013031724916858197,0.004417796261653999,0.037016493037533196,0.06817841808790556,0.04742820728433194,0.1747179217111954,0.17030346190801196,0.0680863353827988,0.05300874119526012
6.0,-0.006340799595932819,-0.12492120392916528,-0.2957193279922254,-0.15761453900282874,0.0950958965438843,0.22849634538594688,-0.009980288335071651,-0.1439473148086781,-0.32082580465365157,-0.1695052330629265,0.09162101481290903,0.21808698917400046,-0.05758868654932473,-0.18390493701887803,-0.12674072680346082,-0.023515996508545887,0.045854573337142775,0.07404444177403878,-0.051075076039182765,-0.16003966020273588,-0.12192432466252075,-0.008395085391798965,0.050441150120585865,0.06421489552946645,0.14365558219310137,0.057647191730224874,0.0036819980711518523,-0.10764800869795438,-0.08300367687479605,-0.0887089295179904,-0.10905521378701218,-0.11062621976418174,-0.06827612874374286,-0.008930486375943895,0.06376911453436554,0.07500696060865147,0.13688014779620689,0.052067218133507336,0.008063540180491864,-0.10110812446751909,-0.08387049888393602,-0.07550631187038286,-0.09086728687023761,-0.10583971776694029,-0.08265955135424646,-0.027158513486002046,0.05044633022304248,0.06213506063670045,0.19239806413418567,0.18854582376766824,0.22955332302393971,0.04792041526818133,0.020453234582035663,0.21850954629000063,0.18797816537631679,0.1927059832550181,0.06186462634173191,0.09597853239330296,0.05432454813465972,0.013557954692210428,0.004416108936163137,0.050126258862623056,0.09199200739026393,0.05377913717438022,0.21361016290168403,0.20628074816516692,0.056597260493179966,0.046815099681048675
7.0,0.0037220111564905795,-0.10328281544142431,-0.3079529732731862,-0.20178146628104607,0.07402351990057171,0.2434396532104443,-0.0019137333788957723,-0.11962360287932966,-0.3261656803439862,-0.2087014665757914,0.06574916028774476,0.23323911704781192,-0.07798422291951114,-0.2581208374557992,-0.1915251095166035,-0.055155939503196236,0.04663203018535527,0.06887646628012356,-0.06763489816517332,-0.21566355857872185,-0.17427215158947051,-0.03508109770518446,0.04507592241221921,0.058487832368143255,0.16557697785747338,0.08075438028255702,0.043257789498695826,-0.04946068481622541,-0.05484870667775856,-0.07543642176814036,-0.11470975356043127,-0.13966812949675056,-0.10887721286607943,-0.046539689495756396,0.0448436789069296,0.06263919232246451,0.15725846594445309,0.07358431930071635,0.04120347555457147,-0.04594032299504937,-0.05977727884751749,-0.069432458203478,-0.09536392648830676,-0.12376048727068917,-0.11043024919669547,-0.06126517726870211,0.03085261990523032,0.05273280533002634,0.2227383850643681,0.22113112249528769,0.3272519620360567,0.06464834933866939,0.028620437736337278,0.31146270366603895,0.22199217993809614,0.2221938835215098,0.06252507407173687,0.10360607017749592,0.06685851482153708,0.0150219518387263,0.005391375303111559,0.06104182368309304,0.10026293168492001,0.05486229505931948,0.23716295705962384,0.22793316445404707,0.044164411815659214,0.03784944238046524
8.0,0.005733336077230236,-0.0828602873577635,-0.30390799788887146,-0.23315476371152538,0.042639444379896765,0.2531464776769239,9.397843323404546E-4,-0.09707158100190402,-0.3156409550743734,-0.23510574222787256,0.034466796818797135,0.2428183737924101,-0.08643772436935555,-0.28445697134924064,-0.22868196705470867,-0.07967904025136398,0.0443111098800396,0.06539962423865059,-0.0758435737782989,-0.2370116139676201,-0.2056325668534481,-0.060532319495592804,0.03772729609910379,0.05422548394975095,0.18357721211707223,0.0959376135259744,0.0666825848425687,0.016240972402253997,-0.01741348197202666,-0.04900937927330082,-0.1081067018271903,-0.16190114967379673,-0.1558932380473574,-0.09289599482764205,0.022579940002607442,0.05206335004058567,0.17452410414159852,0.0875903367916645,0.060064493999996936,0.014135039591706396,-0.025210079011750514,-0.051847012561355744,-0.09336614210673416,-0.14033343722049643,-0.1427147831006928,-0.09776651623115348,0.008528103423710475,0.04450179577840645,0.2548872104725165,0.2490611114725017,0.42203646300238606,0.08331347224483111,0.04032229098738801,0.399551438113612,0.24894010961252086,0.2515137676529718,0.066250183556857,0.10985210158804572,0.0733704506994923,0.01509805209302663,0.005321350117603149,0.06760232848282323,0.10557985627371641,0.05809133492906451,0.25630340466297374,0.24559003939761542,0.03596992848827387,0.03151942066676597
9.0,0.008652398015899763,-0.05939789295417594,-0.284457915353916,-0.2516741369903149,0.007610252697669059,0.25502452998642483,0.00601439965338233,-0.07068645867398199,-0.2906065366750931,-0.24913884878282805,0.0022560785142968,0.24457531549357064,-0.07686300988821498,-0.250400653739737,-0.22708066165703972,-0.09296126671639413,0.03888402041762964,0.06292086906881332,-0.07234182852371399,-0.22116987857879414,-0.2106271018164038,-0.08158479080033927,0.02746107701362581,0.0503775709900465,0.19961611792806863,0.10320776000473833,0.07625481801592812,0.07034547524052374,0.023621157616239202,-0.01130309158916751,-0.08181921145364565,-0.16434769990556414,-0.1936610488525168,-0.13878695184493975,-0.0014861683046937684,0.044675785367797545,0.18985918450087544,0.09472434706630735,0.0684037087804539,0.062131588619556435,0.01377426947773009,-0.02341628094722974,-0.0767704429342072,-0.14429505643451035,-0.17023669799892235,-0.13379619863482178,-0.015061182529806053,0.038141628765146283,0.2816298554635711,0.27479135342738154,0.5113501545004047,0.09577447837463349,0.05051411075094934,0.4816141028215051,0.27368873766842455,0.27573464217489324,0.06908255879521354,0.11415032450184008,0.08124280947686033,0.01388207011260268,0.003788275985225015,0.0747901570046161,0.10857580987843272,0.060365948545513165,0.2703230992441365,0.25864676729362895,0.03161566710014157,0.028228540538082884
10.0,0.014639412972410355,-0.030456927477076214,-0.253156792767882,-0.2571088426758341,-0.025843444949591256,0.24936549939175573,0.012330307113642809,-0.040755003753170684,-0.2553064140209102,-0.2509506594620642,-0.0262104090855216,0.23891076282833743,-0.04775217775783263,-0.17170365219947897,-0.18973029657536994,-0.09644139002714566,0.02905948402463834,0.06113490689710899,-0.05632607615449954,-0.17962189838308426,-0.19149771985276365,-0.0955975204401643,0.014976746414158516,0.04700729676899469,0.21461674341262443,0.10448994994757724,0.07550108469921982,0.10023408069715176,0.05889571259441162,0.029396608874955786,-0.03884483705203621,-0.14288031275703308,-0.21269426992402649,-0.17833139750722726,-0.02702889511894904,0.0415924677640527,0.2046182790546877,0.09659434370171992,0.0694612178855777,0.08863589230167447,0.04750427975340108,0.01040184491011813,-0.0474866840707538,-0.1315621291858763,-0.1858321477194208,-0.16685433752360956,-0.040042158009918616,0.03338509229674455,0.3010544937373592,0.29952095578713905,0.5854912032025354,0.101880621750633,0.059056038028742444,0.5482678218569496,0.2972455384522991,0.2935156418146521,0.0712373054105736,0.11438420297458354,0.08911171236343245,0.01268116137047938,0.0022751470185797566,0.08274971120495447,0.10897705260033608,0.06086902087168788,0.27894821099456546,0.2672784622653937,0.03167102618577734,0.027616137427726103
