ProbeName,x,y,z
CornerLine1_001,-12.4395,-13.3441,2.47304
CornerLine1_002,-7.33023,-10.0324,7.42516
CornerLine1_003,-2.24442,-6.72079,12.3894
CornerLine1_004,2.81762,-3.40928,17.3659
CornerLine1_005,7.85577,-0.0977847,22.3547
CornerLine1_006,12.87,3.21373,27.3559
CornerLine2_001,-12.4403,73.3442,2.4738
CornerLine2_002,-7.33245,70.0327,7.42745
CornerLine2_003,-2.2481,66.7213,12.3932
CornerLine2_004,2.81248,63.41,17.3713
CornerLine2_005,7.84916,60.0987,22.3616
CornerLine2_006,12.8619,56.7874,27.3642
CornerLine3_001,133.611,-13.2819,2.92529
CornerLine3_002,130.821,-9.85024,8.77585
CornerLine3_003,128.004,-6.42767,14.6261
CornerLine3_004,125.161,-3.01426,20.4757
CornerLine3_005,122.292,0.389998,26.3245
CornerLine3_006,119.395,3.78504,32.1725
CornerLine4_001,133.61,73.2825,2.92568
CornerLine4_002,130.819,69.8521,8.77702
CornerLine4_003,128.001,66.4307,14.6281
CornerLine4_004,125.157,63.0185,20.4784
CornerLine4_005,122.285,59.6155,26.328
CornerLine4_006,119.388,56.2217,32.1768
Perimeter1_001,19.7353,4.89547,29.9829
Perimeter1_002,28.4475,4.94732,30.2458
Perimeter1_003,37.1267,4.99899,30.5409
Perimeter1_004,45.773,5.05047,30.869
Perimeter1_005,54.3863,5.10176,31.2308
Perimeter1_006,62.9667,5.15285,31.627
Perimeter1_007,71.5142,5.20375,32.0585
Perimeter1_008,80.0289,5.25445,32.526
Perimeter1_009,88.5106,5.30496,33.0305
Perimeter1_010,96.9594,5.35527,33.5729
Perimeter1_011,105.375,5.40539,34.1542
Perimeter1_012,113.758,5.45532,34.7755
Perimeter2_001,19.7266,55.1061,29.9919
Perimeter2_002,28.4388,55.0547,30.2544
Perimeter2_003,37.1181,55.0036,30.5491
Perimeter2_004,45.7644,54.9526,30.8769
Perimeter2_005,54.3777,54.9018,31.2383
Perimeter2_006,62.9582,54.8512,31.6341
Perimeter2_007,71.5058,54.8008,32.0652
Perimeter2_008,80.0205,54.7506,32.5323
Perimeter2_009,88.5023,54.7006,33.0364
Perimeter2_010,96.9512,54.6508,33.5785
Perimeter2_011,105.367,54.6012,34.1594
Perimeter2_012,113.749,54.5517,34.7804
TurbineLine1_001,15.8239,7.63029,29.4689
TurbineLine1_002,16.7114,13.1556,28.6958
TurbineLine1_003,17.5632,18.6883,27.9389
TurbineLine1_004,18.382,24.2279,27.199
TurbineLine2_001,18.3629,35.771,27.2172
TurbineLine2_002,17.5472,41.3112,27.9545
TurbineLine2_003,16.6983,46.8446,28.7088
TurbineLine2_004,15.8137,52.3706,29.4793
TurbineLine3_001,118.467,8.16311,34.6431
TurbineLine3_002,119.501,13.5339,33.7459
TurbineLine3_003,120.495,18.9145,32.8676
TurbineLine3_004,121.453,24.3043,32.0094
TurbineLine4_001,121.432,35.699,32.0281
TurbineLine4_002,120.478,41.0899,32.8823
TurbineLine4_003,119.487,46.4717,33.7566
TurbineLine4_004,118.458,51.8436,34.6498
CornerBuoy1,15.371,4.8695,29.8595
CornerBuoy2,15.3622,55.1318,29.8686
CornerBuoy3,117.941,5.48024,35.0963
CornerBuoy4,117.932,54.5271,35.101
