"Iteration","Thrust (Turbine1) Monitor: Thrust (Turbine1) Monitor (N)","Thrust (Turbine2) Monitor: Thrust (Turbine2) Monitor (N)"
1.0,0.0,0.0
2.0,57710.61962669304,0.0
3.0,89718.60658768628,0.0
4.0,115050.28450561296,0.0
5.0,135461.43047113038,0.0
6.0,151569.13196280145,0.0
7.0,163429.67478541116,0.0
8.0,171691.49129435708,0.0
9.0,178308.8095140651,0.0
10.0,183188.74884969334,0.0
11.0,185776.5600578406,0.0
12.0,188342.28909037277,0.0
13.0,189937.699550507,0.0
14.0,191246.8878901944,0.0
15.0,191646.1622666694,0.0
16.0,191323.20907543725,0.0
17.0,190943.8522245302,0.0
18.0,190041.5317684973,0.0
19.0,189247.57499410637,0.0
20.0,188187.70545619816,0.0
