"Iteration","Torque (Turbine1) Monitor: Torque (Turbine1) Monitor (N-m)","Torque (Turbine2) Monitor: Torque (Turbine2) Monitor (N-m)"
1.0,0.0,0.0
2.0,32344.77335442721,83191.3505255603
3.0,47711.38354285609,69607.29627550056
4.0,67561.6608482718,40904.991433075586
5.0,83371.61836346047,23632.794030805006
6.0,87588.65937509251,16800.146880975306
7.0,87122.76899800269,15269.750494726119
8.0,86784.54900658333,15283.915920992338
9.0,86547.53953252819,15944.804842550682
10.0,86368.05138838949,17500.670181375324
11.0,86289.6127256926,21631.286959619792
12.0,86276.32159784387,29232.198987515476
13.0,86265.78690763336,38585.28310808471
