"Iteration","Thrust (Turbine1) Monitor: Thrust (Turbine1) Monitor (N)","Thrust (Turbine2) Monitor: Thrust (Turbine2) Monitor (N)"
1.0,334281.8755295547,334233.53439338115
2.0,334281.1219251644,334225.5330460058
3.0,366843.4402883639,369031.2515482565
4.0,385241.83257000725,385820.8092306557
5.0,399528.6825459818,399265.29178244056
6.0,406642.59719714936,405485.63545930514
7.0,410433.37753865024,409114.0380333384
8.0,413800.29688359133,411753.82691267
9.0,416669.9430808855,413705.44674891053
10.0,419155.5715814024,415187.41583929135
11.0,420622.98019332933,415137.2473013074
12.0,422629.40816203936,415343.77074067655
13.0,425097.12220698176,415560.1184039913
14.0,428629.9039973153,416385.38312381
15.0,431998.59831527673,417217.21860216424
16.0,437544.1505702814,418350.3437900318
17.0,443829.51265789557,419623.7836817236
18.0,450057.5886880633,421194.79558451276
19.0,456343.14531446423,422958.8168792536
20.0,465196.1955082678,425115.87261572137
21.0,476415.6346753582,427450.69512832304
22.0,486798.6604589693,430061.593021844
23.0,498020.0557304309,433121.1835885893
24.0,515522.0097246639,438273.85399184993
25.0,531597.5952440328,443594.7588447477
26.0,549870.2159820298,449121.75023855286
27.0,582182.9566190665,454544.67680804187
28.0,612073.7333250302,460687.93933521496
29.0,635176.563074306,470600.20945775806
30.0,647095.8004201673,480097.3652450235
31.0,656545.5151177706,489029.4107623827
32.0,655122.2007644081,499212.18709056027
33.0,640901.3173019235,513623.31628529704
34.0,628514.6176085684,526948.9150394567
35.0,618098.4252913813,539155.7340064418
36.0,609286.0552661123,558980.589753293
37.0,601517.6477653913,583858.502413047
38.0,595139.7506431662,607244.051965375
39.0,590154.0075218817,629191.2234404009
40.0,585674.7444376403,640175.7009864036
41.0,582290.8609389702,649011.0836459227
42.0,579502.6856512321,656482.0210007135
43.0,577253.7298158173,657610.8784292283
44.0,575399.5185181883,644569.0538415774
45.0,573884.3952246534,632003.5109842921
46.0,572332.9157110534,620172.8934850577
47.0,571188.6314275764,608667.7824279417
48.0,570030.6419634998,596711.295780238
49.0,568814.643175973,584934.9675779886
50.0,567777.1788571923,573868.3260647302
51.0,566711.5274949969,562839.2631590675
52.0,565560.9841556507,550778.1436395956
53.0,564507.0983232672,538427.6646156177
54.0,563349.3383552567,526101.7755974075
55.0,562269.5089412102,514779.86981877184
56.0,561083.8271581378,503571.516959212
57.0,559984.1361136148,493281.3718185015
58.0,558794.2954044981,483130.85805958573
59.0,557691.8402962153,473851.2418730063
60.0,556382.4045180618,464775.35730781214
61.0,555027.293440769,456534.72536730923
62.0,553634.975271035,448511.8597086821
63.0,552262.0510613129,441304.76947110635
64.0,550914.6303010012,434268.1790112302
65.0,549548.6502423926,427990.3136801275
66.0,548191.5713994063,421866.2968143517
67.0,546802.6636907556,416431.5239730876
68.0,545437.9395737294,411108.274674383
69.0,543865.5575246183,406441.1923394594
70.0,542614.9258137946,401872.58784061583
71.0,541164.9659171741,397644.6262197736
72.0,539640.0506514732,393853.36409039266
73.0,538165.5713277571,390251.4968841353
74.0,536658.1537369712,386816.6766680548
75.0,534904.8129107393,383844.10216261994
76.0,533490.8300136895,380903.0252149672
77.0,531985.3825141243,378291.88306922716
78.0,530517.1263553837,375824.86364052177
79.0,529074.0544067713,373500.2321116232
80.0,527567.258037532,371493.21011650795
81.0,526227.2150864999,369497.88188651204
82.0,524862.8395157165,367746.25223883544
83.0,523477.7041327948,366088.94554697507
84.0,522168.7972345242,364585.5551090163
85.0,520820.74317077064,363162.50795490225
86.0,519566.2793295671,361938.2854503223
87.0,518269.2302563965,360733.6657314201
88.0,517258.95946000656,359685.1842123655
89.0,516058.2230972998,358665.075790286
90.0,515155.8638834814,357766.76105936844
91.0,514043.0858583274,356905.2426723583
92.0,513254.06802153547,356169.7597072588
93.0,512230.4847217828,355445.1517645014
94.0,511525.60793905554,354825.9866327227
95.0,510708.99191956624,354227.19713187625
96.0,509956.9439168748,353713.4529020907
97.0,509264.88734137616,353238.51837313845
98.0,508631.52097680216,352817.5298302436
99.0,508032.36846328876,352441.23657274287
100.0,507481.82931569737,352104.54472271015
101.0,506997.2522180701,351815.80188188737
102.0,506430.07677757763,351542.9316467314
103.0,506107.3859459002,351346.7853525717
104.0,505679.4193214512,351154.40504041465
105.0,505316.6849753415,351005.094805871
106.0,505003.9084171273,350879.7861974799
107.0,504672.0296219851,350776.26285786723
108.0,504523.1213094624,350709.71598951175
109.0,504250.26268292224,350649.1351031402
110.0,504192.03646509233,350622.14078245434
111.0,504011.5361335791,350597.302525892
112.0,504037.4788434956,350591.9153831439
113.0,503947.7497265061,350589.6160306221
114.0,504058.53620873863,350601.8255085992
115.0,504050.5228606197,350611.1037250702
116.0,504277.04040651675,350624.48954650405
117.0,504418.1321574837,350632.0329961486
118.0,504597.19830406574,350638.1177995568
119.0,504801.98153098585,350639.15733254957
120.0,505033.63962095906,350632.6074745913
121.0,505279.39292591705,350621.02987683524
122.0,505489.274986607,350600.5475006074
123.0,505784.67693076254,350571.3931348258
124.0,506219.26011844736,350519.05532581115
125.0,506493.5203771993,350463.8657998399
126.0,506797.8600874248,350398.51327847526
127.0,507266.83921251475,350310.61058790184
128.0,507547.9321185716,350218.8096632801
129.0,507888.70973339985,350115.01551947126
130.0,508259.47218190075,349989.30760702735
131.0,508595.8334179244,349855.4155109714
132.0,508949.5428928985,349709.2357965032
133.0,509356.8027076059,349540.47894475923
134.0,509635.08028457646,349368.7201735872
135.0,509956.2552769256,349183.4814719694
136.0,510219.400424755,348972.29656028777
137.0,510548.6075842657,348751.6318384094
138.0,510843.67739328556,348508.43634123105
139.0,511096.63436156133,348260.0405770073
140.0,511357.9082623916,347993.9403746889
141.0,511547.5440080698,347699.2727758897
142.0,511819.2605773988,347393.34750288
143.0,512019.40258445,347063.3366646508
144.0,512227.1803989644,346724.85943404934
145.0,512424.3995588518,346365.3700183434
146.0,512560.45948885527,345978.1162421549
147.0,512762.5003340092,345577.93725398846
148.0,512894.1247179257,345156.9198835574
149.0,513053.348889665,344726.4521344149
150.0,513196.75487505127,344277.07957033167
151.0,513299.42861803406,343807.9825242876
152.0,513438.3509306749,343327.64298017515
153.0,513524.9011085056,342837.5203410855
154.0,513645.1335506991,342336.8988390009
155.0,513711.59793008777,341832.8781629613
156.0,513815.22163703624,341328.21843855025
157.0,513902.1830534626,340818.5247620856
158.0,513965.40413597034,340311.01581256784
159.0,514047.3003478138,339805.47764632065
160.0,514099.2614095148,339310.93954877753
161.0,514169.5325617281,338821.1282983206
162.0,514210.33622042654,338350.3908366035
163.0,514269.63953039126,337886.31922754494
164.0,514300.5164449362,337447.0010926555
165.0,514352.38011246675,337016.53386264964
166.0,514375.3227802677,336615.09317863185
167.0,514419.226604859,336224.5792768092
