"Iteration","Torque (Turbine1) Monitor: Torque (Turbine1) Monitor (N-m)","Torque (Turbine2) Monitor: Torque (Turbine2) Monitor (N-m)"
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,15498.306779429267,0.0
6.0,25973.04826532654,0.0
7.0,38249.25510163855,0.0
8.0,50671.83062896683,0.0
9.0,61190.29680694605,0.0
10.0,71322.1055670178,0.0
11.0,79079.35026616082,0.0
12.0,84761.16479254895,0.0
13.0,74948.7759524885,0.0
14.0,66382.63442077082,0.0
15.0,60115.36093928399,0.0
16.0,55286.27768662889,0.0
17.0,51297.20626197754,0.0
18.0,48017.3330449154,0.0
19.0,45182.10609362732,0.0
20.0,42799.36235627463,0.0
21.0,40720.94421235515,0.0
22.0,38954.2976370566,0.0
23.0,37456.47515010084,0.0
24.0,36117.20862429026,0.0
25.0,34959.1859385666,0.0
26.0,33895.63490358625,0.0
27.0,32927.10657115308,0.0
28.0,32065.187939673895,0.0
29.0,31233.983119571272,14673.770456074553
30.0,30450.98877468642,16112.009012952554
31.0,29780.46492604712,17476.750027168197
32.0,29134.26405678073,18743.16302541281
33.0,28543.325985514886,19896.209317977227
34.0,27973.553295766535,20919.20034739731
35.0,27450.61328749838,21813.711725142595
36.0,26946.4477979015,22592.135679130457
37.0,26485.25020938407,23274.014871230916
38.0,26035.053652582188,23873.88790970791
39.0,25613.90354268338,24402.422883687515
40.0,25228.62546166052,24881.0878356419
41.0,24880.464811390004,25346.21184475478
42.0,24519.760783090496,25909.79818166744
43.0,24210.02631810226,26425.388810875847
44.0,23906.297838909835,26912.58263871673
45.0,23619.427034223598,27365.05319755967
46.0,23365.481797817705,27787.46187653032
47.0,23128.965298869563,28188.63188944177
48.0,22886.958429045146,28568.953984336862
49.0,22694.034153689197,28922.66126215831
50.0,22485.15825218314,29267.07127875374
51.0,22279.66531076922,29593.64234599607
52.0,22108.766696240076,29906.29777796283
53.0,21936.47724026464,30209.910409057487
54.0,21774.46340156042,30498.269347114652
55.0,21633.021800016424,30779.31370176465
56.0,21492.01286343595,31048.490488091054
57.0,21358.27824967303,31306.811881640493
58.0,21240.43644219055,31550.676917559016
59.0,21137.763594528853,31787.76007122985
60.0,21034.62062555097,32007.92422214766
61.0,20947.07410942996,32219.705276725028
62.0,20870.994364873688,32419.362187398703
63.0,20800.82691902595,32605.50048518055
64.0,20737.71045044428,32780.450367823825
65.0,20685.844921180702,32943.008596161584
66.0,20638.703897277992,33093.70772730958
67.0,20598.875936269957,33231.59867336833
68.0,20566.270197945127,33355.933437506304
69.0,20538.519446224494,33467.93718300261
70.0,20517.394794156484,33568.17133977583
71.0,20499.10214115454,33657.27841601015
72.0,20484.062755187057,33735.77800662899
73.0,20471.663857431846,33806.2278182852
74.0,20462.949858791915,33865.23721086774
75.0,20456.353701165583,33917.024098119924
76.0,20451.48809208872,33959.13679073028
77.0,20447.760627190153,33994.54149479461
78.0,20445.765162026393,34023.31588196982
79.0,20444.65433922692,34046.14625470065
80.0,20444.488992523897,34064.263129910934
81.0,20444.559605870527,34077.25627118799
82.0,20445.36521749911,34086.8896625186
83.0,20446.745126504793,34091.70802047069
84.0,20447.318664191684,34094.72731401447
85.0,20448.86174197372,34094.800151200914
86.0,20450.262951788347,34092.96745242256
87.0,20451.865992149873,34089.50156755648
88.0,20453.22966395366,34085.28899906881
89.0,20454.846708229998,34080.227178063695
90.0,20456.149508020542,34074.901193705766
91.0,20457.729186115743,34068.78672892245
92.0,20458.625769852923,34062.73494106007
93.0,20459.97152914769,34056.22771369957
94.0,20460.925496884247,34050.75039751163
95.0,20461.87444506064,34045.347100424566
96.0,20462.66168886554,34040.27752223665
97.0,20463.374207644552,34035.43279669201
98.0,20463.89593413166,34031.35262093273
99.0,20464.50656482925,34027.53891665759
100.0,20465.24269682271,34024.529555383764
101.0,20465.511065933788,34021.96064538288
102.0,20465.736258419514,34019.84540678612
103.0,20466.01889196678,34018.39115166364
104.0,20466.10016045289,34017.03179387994
105.0,20466.226383074976,34016.016441656626
106.0,20466.224701182495,34015.64456062956
107.0,20466.335209639197,34015.7070747196
108.0,20466.29215561704,34015.89016169383
109.0,20466.28252622491,34016.43315384247
110.0,20466.05458905182,34017.225347603846
111.0,20466.07092021223,34018.322986884734
112.0,20465.925552733468,34019.76504790102
113.0,20465.822942602215,34021.35852193559
114.0,20465.67739873747,34023.170846651956
115.0,20465.523494298723,34025.193930644804
116.0,20465.351599869606,34027.44494795182
117.0,20465.20651415891,34029.60344178133
118.0,20465.015876444035,34032.02238974988
119.0,20464.823406578555,34034.597066094415
120.0,20464.60592742314,34037.19857012025
121.0,20464.38444744405,34039.88486453517
122.0,20464.16225742733,34042.60626634
123.0,20463.88797684612,34045.56526693735
124.0,20463.6247006212,34048.41683206991
125.0,20463.35101420832,34051.050258604795
126.0,20463.021668101952,34054.043057874405
127.0,20462.765357028562,34056.90437880565
128.0,20462.48382320104,34059.91671676936
129.0,20462.222063084737,34062.76948182866
130.0,20461.92436927282,34065.615316029835
131.0,20461.59292342734,34068.4447251657
132.0,20461.315090048167,34071.27135263187
133.0,20461.01152684614,34074.08191200461
134.0,20460.745994276855,34076.87049026861
135.0,20460.449341941086,34079.61138986936
136.0,20460.193320636878,34082.33548550318
137.0,20459.899743101858,34085.03034944351
138.0,20459.64843825899,34087.6771313703
139.0,20459.35778752769,34090.29901945437
140.0,20459.1133216873,34092.8567216486
141.0,20458.823918225673,34095.29960287593
142.0,20458.60741739584,34097.751185128014
143.0,20458.336420239193,34100.22803668262
144.0,20458.115088624552,34102.558538804056
145.0,20457.851301227653,34104.82768302392
146.0,20457.646657201964,34107.03023968073
147.0,20457.40602973144,34109.2393190973
148.0,20457.19787679874,34111.34842107029
149.0,20456.990659418698,34113.480774492615
150.0,20456.77202994128,34115.48659150343
151.0,20456.588940892834,34117.49217417833
152.0,20456.370732544314,34119.43209911286
153.0,20456.19043476419,34121.314646354076
154.0,20455.976027170957,34123.13709540228
155.0,20455.80502588811,34124.91491212792
156.0,20455.603280988686,34126.63612928842
157.0,20455.441558659626,34128.31929924045
158.0,20455.265129504496,34129.986817078156
159.0,20455.092827856784,34131.56726666261
160.0,20454.92719820542,34133.102806098505
161.0,20454.767242657552,34134.59454053167
162.0,20454.618841128984,34136.076853975
163.0,20454.462046343517,34137.51059903591
164.0,20454.293619664968,34138.87941740674
165.0,20454.151465616567,34140.23412459811
166.0,20454.00171278775,34141.53489928411
167.0,20453.86918810973,34142.80107889972
168.0,20453.730319717928,34144.030668544336
169.0,20453.607380583973,34145.22974748989
170.0,20453.476959339117,34146.38544580027
171.0,20453.363898861353,34147.51557316659
172.0,20453.243972636566,34148.60480753892
173.0,20453.13993061293,34149.6722213929
174.0,20453.037098309924,34150.71902789806
175.0,20452.927235590305,34151.72313690637
176.0,20452.83235463466,34152.70430264841
177.0,20452.7388327335,34153.66523075506
178.0,20452.646316653863,34154.603906606695
179.0,20452.55522410915,34155.51713807741
180.0,20452.465875635862,34156.40378449859
181.0,20452.37861282377,34157.264559047115
182.0,20452.293758517313,34158.10115729978
183.0,20452.21162403101,34158.91449458817
184.0,20452.133332502726,34159.705770819404
185.0,20452.057115762687,34160.47648186137
186.0,20451.98365593732,34161.227752312305
187.0,20451.912823119797,34161.96049184545
188.0,20451.844396445733,34162.6754151875
189.0,20451.77810349362,34163.37308429973
190.0,20451.713524072147,34164.05529458798
191.0,20451.65035888763,34164.7240802922
192.0,20451.588470435683,34165.37931641254
193.0,20451.52777424705,34166.020218594975
194.0,20451.468244190262,34166.646396293276
195.0,20451.4098995485,34167.25786569485
196.0,20451.35278349561,34167.854964063896
197.0,20451.296942309888,34168.438235071866
198.0,20451.24241328909,34169.00818450341
199.0,20451.189211534955,34169.565355538856
200.0,20451.137325530843,34170.110300937056
201.0,20451.086718672508,34170.64353607495
202.0,20451.037336635403,34171.16549525224
203.0,20450.98911303586,34171.6766564433
204.0,20450.94197830739,34172.177426672366
205.0,20450.89586943213,34172.668185093586
206.0,20450.850726896642,34173.14928308119
207.0,20450.806500267092,34173.62105326277
208.0,20450.763148228907,34174.08383862449
209.0,20450.720637854305,34174.53797789301
210.0,20450.67894267954,34174.98378938511
211.0,20450.6380406694,34175.421573033804
212.0,20450.597911513512,34175.85160541845
213.0,20450.558532195613,34176.27412991021
214.0,20450.51989014153,34176.68936330863
215.0,20450.48197311107,34177.097387906484
216.0,20450.44476450908,34177.498438482784
217.0,20450.408242446145,34177.89278194756
218.0,20450.372381993027,34178.28069037227
219.0,20450.337156862555,34178.66241308009
220.0,20450.30253958738,34179.03819388595
221.0,20450.26850364432,34179.408254517184
222.0,20450.235024072634,34179.77280341469
223.0,20450.202078031987,34180.132024318074
224.0,20450.169645104783,34180.486081859315
225.0,20450.137708826584,34180.83510839393
226.0,20450.10625445418,34181.17922866643
227.0,20450.07526865547,34181.51856473879
228.0,20450.04473837761,34181.853255163995
229.0,20450.014652701,34182.1833999703
230.0,20449.98500282075,34182.509051416746
231.0,20449.955774860413,34182.830458291326
232.0,20449.926956857278,34183.1475903229
233.0,20449.898536753288,34183.460666077444
234.0,20449.870503788406,34183.76969254376
235.0,20449.84284783985,34184.07486765453
236.0,20449.815557145615,34184.37626669624
237.0,20449.78862173103,34184.67424157375
238.0,20449.76202901254,34184.96851726858
239.0,20449.73576996317,34185.25924954648
240.0,20449.70983767431,34185.54653111452
241.0,20449.684222584074,34185.83077547296
242.0,20449.658914668464,34186.111629904
243.0,20449.633909219294,34186.38925956229
244.0,20449.609198268125,34186.66406719276
245.0,20449.5847730989,34186.93571753866
246.0,20449.560627535207,34187.204641689576
247.0,20449.53675446296,34187.47051636239
248.0,20449.513148681624,34187.73375634395
249.0,20449.48980408851,34187.99405200763
250.0,20449.466716395822,34188.251797931865
251.0,20449.443880772702,34188.506665823
252.0,20449.421294984764,34188.758994231284
253.0,20449.398953474076,34189.0087222597
254.0,20449.376854210386,34189.255634761284
255.0,20449.354996036796,34189.50009288677
256.0,20449.33337447355,34189.74204581705
257.0,20449.311987679095,34189.98129005567
258.0,20449.290834577056,34190.21817963613
259.0,20449.26991021561,34190.452667521764
260.0,20449.24920940397,34190.6847738654
261.0,20449.228728184127,34190.91452569231
262.0,20449.20846376168,34191.14193050021
263.0,20449.188414028285,34191.36697272335
264.0,20449.168579749872,34191.5895907695
265.0,20449.14895993667,34191.80982798596
266.0,20449.12955209615,34192.027729792884
267.0,20449.11035303843,34192.24334655581
268.0,20449.091359416336,34192.456725004326
269.0,20449.072567420546,34192.667907607174
270.0,20449.05397303708,34192.87693470835
271.0,20449.03557201275,34193.083847262875
272.0,20449.01736008286,34193.28871147463
273.0,20448.999331945794,34193.49155628474
274.0,20448.981482855786,34193.69240030732
275.0,20448.96380819675,34193.891352774895
276.0,20448.946304315476,34194.088439914776
277.0,20448.928968421744,34194.28368033343
278.0,20448.911798186957,34194.47709069738
279.0,20448.894791373034,34194.66868783582
280.0,20448.877946177134,34194.858488164755
281.0,20448.861260942012,34195.04650851918
282.0,20448.84473415458,34195.23276325565
283.0,20448.82836422099,34195.41726790476
284.0,20448.812149583056,34195.60003884051
285.0,20448.796088677133,34195.78109388725
286.0,20448.780179662906,34195.96045656143
287.0,20448.764420621294,34196.138144460696
288.0,20448.748809371715,34196.31417670022
289.0,20448.733342466345,34196.48856364367
290.0,20448.718018059306,34196.66133203695
291.0,20448.702835171585,34196.83249326541
292.0,20448.687792781682,34197.00204678853
293.0,20448.672889793936,34197.170000237784
294.0,20448.65812544618,34197.336360080495
295.0,20448.643499330457,34197.501135568455
296.0,20448.6290111917,34197.66433756644
297.0,20448.61466061585,34197.82597892806
298.0,20448.6004469225,34197.986073484106
299.0,20448.58636912988,34198.144632883355
300.0,20448.57242609792,34198.301668217544
301.0,20448.558618168754,34198.45713251306
302.0,20448.54494485105,34198.61105402995
303.0,20448.53140514464,34198.763449189515
304.0,20448.517997850857,34198.91432987756
305.0,20448.50472154239,34199.063712668394
306.0,20448.491574779524,34199.211612001745
307.0,20448.47855622059,34199.358040614105
308.0,20448.465664635885,34199.50300823729
309.0,20448.45289891522,34199.646525716205
310.0,20448.44025741058,34199.78860494599
311.0,20448.427739423118,34199.929260201185
312.0,20448.415344913017,34200.06848780248
313.0,20448.403073730722,34200.20628004833
314.0,20448.390925718566,34200.34263580253
315.0,20448.378900730648,34200.47756210701
316.0,20448.366998571808,34200.611069904284
317.0,20448.35521886447,34200.74316711858
318.0,20448.34356099637,34200.87386438237
319.0,20448.332023987045,34201.00317685933
320.0,20448.32060447444,34201.1311651876
321.0,20448.309299381926,34201.25789497298
322.0,20448.298105712587,34201.383390446295
323.0,20448.287020788277,34201.50764975938
324.0,20448.27604257375,34201.630666136465
325.0,20448.26516939665,34201.752447648236
326.0,20448.2544006357,34201.872993021265
327.0,20448.24373614959,34201.992298425626
328.0,20448.233175791178,34202.11036849421
329.0,20448.222719433783,34202.22721247494
330.0,20448.212366907384,34202.34284280371
331.0,20448.202117880668,34202.4572713525
332.0,20448.191971898756,34202.57050529301
333.0,20448.181928012506,34202.68256766176
334.0,20448.171985251745,34202.79346432236
335.0,20448.162142585545,34202.903199783585
336.0,20448.15239887104,34203.01178353159
337.0,20448.142753026004,34203.11921988954
338.0,20448.133204106423,34203.225513064535
339.0,20448.123751372896,34203.33066800094
340.0,20448.114394283424,34203.43468973963
341.0,20448.105132415654,34203.53758352047
342.0,20448.095965377808,34203.639354681094
343.0,20448.086892901512,34203.74000546203
344.0,20448.077914845715,34203.83953691174
345.0,20448.06903102005,34203.93795094704
346.0,20448.060241345294,34204.03524748627
347.0,20448.051545750295,34204.13142771121
348.0,20448.04294415695,34204.226493882146
349.0,20448.034436443377,34204.32044849202
350.0,20448.02602241164,34204.41329427228
351.0,20448.017701830388,34204.50503366602
352.0,20448.009474434137,34204.595669796516
353.0,20448.00133993907,34204.6852065362
354.0,20447.993298043373,34204.7736474244
355.0,20447.985348436436,34204.86099641355
356.0,20447.977490838224,34204.947257806416
357.0,20447.969724984796,34205.03243614592
358.0,20447.962050619415,34205.11653633967
359.0,20447.95446747713,34205.19956355597
360.0,20447.94697528536,34205.28152325574
361.0,20447.93957374936,34205.36242115351
362.0,20447.932262523573,34205.442263342826
363.0,20447.925041275594,34205.521055579906
364.0,20447.917909516764,34205.59880847348
365.0,20447.910866736842,34205.67553079876
366.0,20447.90391237852,34205.75123053687
367.0,20447.897045898728,34205.82591441441
368.0,20447.890266779712,34205.899588633714
369.0,20447.883575041407,34205.97223854135
